0     0.0229855
0.0229855     0.0689566
0.0689566     0.114928
0.114928     0.160899
0.160899     0.20687
0.20687     0.252841
0.252841     0.298812
0.298812     0.344783
0.344783     0.390754
0.390754     0.436725
0.436725     0.482696
0.482696     0.528667
0.528667     0.574638
0.574638     0.620609
0.620609     0.66658
0.66658     0.712551
0.712551     0.758522
0.758522     0.804493
0.804493     0.850464
0.850464     0.896435
0.896435     0.942407
0.942407     0.988378
0.988378     1.03435
1.03435     1.08032
1.08032     1.12629
1.12629     1.17226
1.17226     1.21823
1.21823     1.2642
1.2642     1.31017
1.31017     1.35615
1.35615     1.40212
1.40212     1.44809
1.44809     1.49406
1.49406     1.54003
1.54003     1.586
1.586     1.63197
1.63197     1.67794
1.67794     1.72391
1.72391     1.76989
1.76989     1.81586
1.81586     1.86183
